### Valerith ###
galdrin_valerith = {
	name = "Galdrin"
	dna = victaris_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 5
	diplomacy = 17
	intrigue = 13
	stewardship = 5
	learning = 5
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = arrogant
	trait = lustful
	trait = eccentric
	trait = education_diplomacy_4
	trait = beauty_good_3
	trait = physique_good_2
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith

	disallow_random_traits = yes

	702.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	790.1.1 = {
		death = yes
	}
}

galdrin_valerith_1066 = {
	name = "Galdrin"
	dna = victaris_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 5
	diplomacy = 17
	intrigue = 13
	stewardship = 5
	learning = 5
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = arrogant
	trait = lustful
	trait = eccentric
	trait = education_diplomacy_4
	trait = beauty_good_3
	trait = physique_good_2
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith

	disallow_random_traits = yes

	902.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	989.1.1 = {
		death = yes
	}
}

faelyn_valerith = {
	name = "Faelyn"
	dna = faelyn_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 5
	diplomacy = 17
	intrigue = 13
	stewardship = 5
	learning = 5
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = humble
	trait = patient
	trait = calm
	trait = education_diplomacy_4
	trait = beauty_good_1
	trait = physique_good_2
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith

	disallow_random_traits = yes

	father = galdrin_valerith

	765.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_high_elf
		}
	}

	785.1.1 = {
		add_spouse = aris_thundarael
	}

	957.1.1 = {
		death = yes
	}
}

faelyn_valerith_1066 = {
	name = "Faelyn"
	dna = faelyn_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 5
	diplomacy = 17
	intrigue = 13
	stewardship = 5
	learning = 5
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = humble
	trait = patient
	trait = calm
	trait = education_diplomacy_4
	trait = beauty_good_1
	trait = physique_good_2
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith

	disallow_random_traits = yes

	father = galdrin_valerith_1066

	964.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_high_elf
		}
	}

	984.1.1 = {
		add_spouse = aris_thundarael_1066
	}

	1156.1.1 = {
		death = yes
	}
}

felicity_valerith = {
	name = "Felicity"
	dna = valindra_valerith
	
	female = yes
	sexuality = heterosexual
	dynasty = 696970
	martial = 7
	diplomacy = 7
	intrigue = 7
	stewardship = 10
	learning = 8
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = diligent
	trait = temperate
	trait = education_diplomacy_4
	trait = intellect_good_1
	trait = beauty_good_3
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith
	
	disallow_random_traits = yes

	father = galdrin_valerith
	
	760.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 45
			add_character_flag = race_high_elf
		}
	}

	840.1.1 = {
		death = yes
	}
}

felicity_valerith_1066 = {
	name = "Felicity"
	dna = valindra_valerith
	
	female = yes
	sexuality = heterosexual
	dynasty = 696970
	martial = 7
	diplomacy = 7
	intrigue = 7
	stewardship = 10
	learning = 8
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = diligent
	trait = temperate
	trait = education_diplomacy_4
	trait = intellect_good_1
	trait = beauty_good_3
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith
	
	disallow_random_traits = yes
	
	960.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 45
			add_character_flag = race_high_elf
		}
	}

	1040.1.1 = {
		death = yes
	}
}


seraphine_valerith = {
	name = "Seraphine"
	dna = seraphine_valerith
	female = yes
	sexuality = bisexual
	dynasty = 696970
	martial = 7
	diplomacy = 13
	intrigue = 13
	stewardship = 6
	learning = 6
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = diligent
	trait = eccentric
	trait = education_intrigue_5
	trait = beauty_good_3
	trait = intellect_good_1
	trait = magic_talent_2
	trait = magi
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = enchantress
	# trait = seducer
	trait = aeluran_sister

	disallow_random_traits = yes

	father = victaris_valerith
	mother = valindra_valerith
	
	848.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}
	957.1.1 = {
		death = yes
	}
}

seraphine_valerith_1066 = {
	name = "Seraphine"
	dna = seraphine_valerith
	female = yes
	sexuality = bisexual
	dynasty = 696970
	martial = 7
	diplomacy = 13
	intrigue = 13
	stewardship = 6
	learning = 6
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = diligent
	trait = eccentric
	trait = education_intrigue_5
	trait = beauty_good_3
	trait = intellect_good_1
	trait = magic_talent_2
	trait = magi
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = enchantress
	trait = aeluran_sister

	disallow_random_traits = yes

	father = victaris_valerith_1066
	mother = valindra_valerith_1066
	
	1047.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}
	1156.1.1 = {
		death = yes
	}
}

lia_valerith = {
	name = "Lia"
	dna = lia_valerith
	female = yes
	sexuality = heterosexual
	dynasty = 696970
	martial = 9
	diplomacy = 8
	intrigue = 8
	stewardship = 8
	learning = 13
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = gregarious
	trait = patient
	trait = calm
	trait = education_diplomacy_4
	trait = beauty_good_3
	trait = intellect_good_1
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_sister

	disallow_random_traits = yes

	father = victaris_valerith
	mother = valindra_valerith
	
	849.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	865.1.1 = {
		employer = seraphine_valerith
	}

	957.1.1 = {
		death = yes
	}
}

lia_valerith_1066 = {
	name = "Lia"
	dna = lia_valerith
	female = yes
	sexuality = heterosexual
	dynasty = 696970
	martial = 9
	diplomacy = 8
	intrigue = 8
	stewardship = 8
	learning = 13
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = gregarious
	trait = patient
	trait = calm
	trait = education_diplomacy_4
	trait = beauty_good_3
	trait = intellect_good_1
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_sister

	disallow_random_traits = yes

	father = victaris_valerith_1066
	mother = valindra_valerith_1066
	
	1048.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	1064.1.1 = {
		employer = seraphine_valerith
	}

	1156.1.1 = {
		death = yes
	}
}

hannah_valerith = {
	name = "Hannah"
	dna = hannah_valerith
	female = yes
	sexuality = bisexual
	dynasty = 696970
	martial = 9
	diplomacy = 8
	intrigue = 8
	stewardship = 8
	learning = 13
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = patient
	trait = humble
	trait = eccentric
	trait = education_learning_4
	trait = beauty_good_3
	trait = intellect_good_1
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_sister

	disallow_random_traits = yes

	father = victaris_valerith
	mother = valindra_valerith
	
	851.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	865.1.1 = {
		employer = seraphine_valerith
	}

	957.1.1 = {
		death = yes
	}
}

hannah_valerith_1066 = {
	name = "Hannah"
	dna = hannah_valerith
	female = yes
	sexuality = bisexual
	dynasty = 696970
	martial = 9
	diplomacy = 8
	intrigue = 8
	stewardship = 8
	learning = 13
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = patient
	trait = humble
	trait = eccentric
	trait = education_learning_4
	trait = beauty_good_3
	trait = intellect_good_1
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_sister
